Building Number,Building Abbr,Ofﬁcial Building Name,Original Year,Ext SqFt,Net SqFt
612,,WEEDANNEX -AGRONOMY FARM,1965,904,876
614,,SEED CENTER -AGRONOMY FARM,1950,9627,9265
about:blank,,,,,13-May
"4/18/25, 12:06 PM",,about:blank,,,
615,,SEED AND FERTILIZER -AGRONOMY FARM,1973,6447,5669
616,SG,SMALL GRAINS -AGRONOMY FARM,1945,14536,12669
617,,SMALL GRAINS GREENHOUSE -AGRONOMY FARM,1965,23631,22297
618,,WHEAT RESEARCH -AGRONOMY FARM,1975,4176,4000
619,,WEED SCIENCE -AGRONOMY FARM,1975,2669,2488
620,,AGRONOMY STORAGE -AGRONOMY FARM,1975,6000,5885
621,,STORAGE BARN -AGRONOMY FARM,1995,3567,3518
622,,USDAPEANUT GREENHOUSE EAST,2014,2944,-pending-
623,,USDAPEANUT GREENHOUSE WEST,2014,2944,-pending-
0623A,,USDAPEANUT GREENHOUSE EAST SHED,2018,-pending-,-pending-
624,,GRINDING SHED -AGRONOMY FARM,1975,686.35,676.3
626,,RESIDENCE GARAGE -AGRONOMY FARM,1935,480,448
627,,THRESHING SHED -AGRONOMY FARM,1938,-pending-,-pending-
628,,USDAPEANUT HEADHOUSE -AGRONOMY FARM,2014,1633.49,1602.97
629,,TEN-BAY STORAGE -AGRONOMY FARM,2001,6051.06,5917.38
634,,SERC JUDGING BUILDING,2004,3504,-pending-
0634A,,SERC PUMP BUILDING,2003,866,-pending-
0634B,,SERC ELECTRICAL AND STORAGE #2,2002,620,-pending-
0634C,,SERC ELECTRICAL AND STORAGE #1,2002,620,-pending-
635,,SERC HEADQUARTERS,2005,1740,-pending-
0635A,,SERC GESTATION #1,2004,2055,-pending-
0635B,,SERC GESTATION #1 FEED,2004,102,-pending-
0635C,,SERC GESTATION #2,2004,2055,-pending-
0635D,,SERC GESTATION #2 FEED,2004,102,-pending-
0635E,,SERC FARM FARROWING #1,2004,1140,-pending-
0635F,,SERC FARROWING #1 FEED,2004,102,-pending-
0635G,,SERC FARROWING #2,2004,1140,-pending-
0635H,,SERC FARROWING #2 FEED,2004,102,-pending-
0635J,,SERC NURSERY #1,2004,1301,-pending-
0635K,,SERC NURSERY #1 FEED,2004,102,-pending-
0635L,,SERC NURSERY #2,2004,1301,-pending-
0635M,,SERC NURSERY #2 FEED,2004,102,-pending-
0635N,,SERC FINISHER #1,2004,1302,-pending-
0635P,,SERC FINISHER #1 FEED,2004,102,-pending-
0635Q,,SERC FINISHER #2,2004,1302,-pending-
0635R,,SERC FINISHER #2 FEED,2004,102,-pending-
0635S,,SERC FINISHER #3,2004,1303,-pending-
0635T,,SERC FINISHER #3 FEED,2004,102,-pending-
0635U,,SERC FINISHER #4,2004,1303,-pending-
0635V,,SERC FINISHER #4 FEED,2004,102,-pending-
0635W,,SERC FINISHER #5,2004,1302,-pending-
0635X,,SERC FINISHER #5 FEED,2004,102,-pending-
0635Y,,SERC FINISHER #6,2004,1302,-pending-
0635Z,,SERC FINISHER #6 FEED,2004,102,-pending-
636,,EQUESTRIAN SADDLING BARN,2000,4831.3,4629.6
637,,BOVINE ISOLATION FACILITY,2000,6214.57,5739.78
638,EC,CHARLES AND LINDA CLINE EQUINE TEACHING CENTER,2015,13942,2995.65
639,AR,TOTUSEKARENA,1986,49113.81,44886.64
640,,ANAPLASMOSIS HAY BARN - VET MED,1987,5000,4856
641,,SWINE BARN - SWINE FARM,1920,7912,7162
642,,ANIMAL SCIENCE SWINE FARM - FARM HOUSE #3,1931,1053,1053
644,,STORAGE - SWINE FARM,1975,1492,1406
,,BIOSYSTEMSANDAGRICULTURAL ENGINEERING WEST,,,
647,,,1945,3600,3465
,,ANNEX,,,
,,BIOSYSTEMSANDAGRICULTURAL ENGINEERING WEST,,,
0647A,,,2005,3982.51,3961.86
,,MACHINERY,,,
,,BIOSYSTEMSANDAGRICULTURAL ENGINEERING WEST,,,
648,,,2008,1788.87,1771.55
,,STORAGE,,,
